1364	7 (0 1 2 3 4 5 6) 
Adromischus_alstonii	0000010
Adromischus_bicolor	0000010
Adromischus_caryophyllaceus	0000010
Adromischus_cooperi	0000010
Adromischus_cristatus	0000010
Adromischus_fallax	0000010
Adromischus_filicaulis	0000010
Adromischus_hemisphaericus	0000010
Adromischus_humilis	0000010
Adromischus_inamoenus	0000010
Adromischus_leucophyllus	0000010
Adromischus_liebenbergii	0000010
Adromischus_maculatus	0000010
Adromischus_mammillaris	0000010
Adromischus_marianiae	0000010
Adromischus_maximus	0000010
Adromischus_montium-klinghardtii	0000010
Adromischus_nanus	0000010
Adromischus_phillipsiae	0000010
Adromischus_roaneanus	0000010
Adromischus_schuldtianus	0000010
Adromischus_sphenophyllus	0000010
Adromischus_subviridis	0000010
Adromischus_triflorus	0000010
Adromischus_trigynus	0000010
Adromischus_umbraticola	0000010
Aeonium_aizoon	0100000
Aeonium_arboreum	0100000
Aeonium_aureum	0100000
Aeonium_balsamiferum	0100000
Aeonium_canariense	0100000
Aeonium_ciliatum	0100000
Aeonium_davidbramwellii	0100000
Aeonium_decorum	0100000
Aeonium_diplocyclum	0100000
Aeonium_dodrantale	0100000
Aeonium_glandulosum	0100000
Aeonium_glutinosum	0100000
Aeonium_gomerense	0100000
Aeonium_goochiae	0100000
Aeonium_haworthii	0100000
Aeonium_hierrense	0100000
Aeonium_korneliuslemsii	0010000
Aeonium_lancerottense	0100000
Aeonium_leucoblepharum	0100000
Aeonium_lindleyi	0100000
Aeonium_nobile	0100000
Aeonium_percarneum	0100000
Aeonium_pseudourbicum	0100000
Aeonium_saundersii	0100000
Aeonium_sedifolium	0100000
Aeonium_simsii	0100000
Aeonium_spathulatum	0100000
Aeonium_tabuliforme	0010000
Aeonium_undulatum	0100000
Aeonium_urbicum	0100000
Aichryson_bethencourtianum	0100000
Aichryson_bollei	0100000
Aichryson_divaricatum	0100000
Aichryson_dumosum	0100000
Aichryson_laxum	0100000
Aichryson_pachycaulon	0100000
Aichryson_palmense	0001000
Aichryson_parlatorei	0010000
Aichryson_porphyrogennetos	0001000
Aichryson_punctatum	0000001
Aichryson_tortuosum	0000010
Aichryson_villosum	0000001
Altingia_chinensis	0001000
Altingia_excelsa	0001000
Altingia_gracilipes	1000000
Altingia_siamensis	0001000
Aphanopetalum_clematideum	0001000
Aphanopetalum_resinosum	0001000
Astilbe_biternata	0000001
Astilbe_chinensis	0001000
Astilbe_grandis	0001000
Astilbe_japonica	0000001
Astilbe_longicarpa	1000000
Astilbe_macrocarpa	0001000
Astilbe_macroflora	0001000
Astilbe_microphylla	0001000
Astilbe_odontophylla	0001000
Astilbe_philippinensis	0001000
Astilbe_rivularis	1000000
Astilbe_rubra	1000000
Astilbe_shikokiana	0001000
Astilbe_simplicifolia	1000000
Astilbe_thunbergii	0001000
Astilboides_tabularis	0000100
Bensoniella_oregona	0000100
Bergenia_ciliata	0001000
Bergenia_crassifolia	1000000
Bergenia_emeiensis	1000000
Bergenia_pacumbis	1000000
Bergenia_purpurascens	1000000
Bergenia_stracheyi	1000000
Bolandra_californica	1000000
Bolandra_oregana	0100000
Boykinia_aconitifolia	1000000
Boykinia_intermedia	0001000
Boykinia_lycoctonifolia	1000000
Boykinia_major	0010000
Boykinia_occidentalis	0001000
Boykinia_richardsonii	0001000
Boykinia_rotundifolia	1000000
Cascadia_nuttallii	1000000
Cercidiphyllum_japonicum	1000000
Cercidiphyllum_magnificum	0000100
Choristylis_rhamnoides	0001000
Chrysosplenium_album	0001000
Chrysosplenium_alternifolium	0001000
Chrysosplenium_americanum	0001000
Chrysosplenium_axillare	1000000
Chrysosplenium_biondianum	0001000
Chrysosplenium_carnosum	0001000
Chrysosplenium_davidianum	0000100
Chrysosplenium_dubium	1000000
Chrysosplenium_echinus	0001000
Chrysosplenium_fauriae	0001000
Chrysosplenium_flagelliferum	0000100
Chrysosplenium_forrestii	0000001
Chrysosplenium_grayanum	0001000
Chrysosplenium_griffithii	0000001
Chrysosplenium_hydrocotylifolium	0001000
Chrysosplenium_iowense	0001000
Chrysosplenium_japonicum	0001000
Chrysosplenium_kamtschaticum	0000100
Chrysosplenium_kiotense	1000000
Chrysosplenium_lanuginosum	0001000
Chrysosplenium_macrophyllum	0001000
Chrysosplenium_macrostemon	1000000
Chrysosplenium_microspermum	1000000
Chrysosplenium_nepalense	1000000
Chrysosplenium_nudicaule	0001000
Chrysosplenium_oppositifolium	1000000
Chrysosplenium_pilosum	0000100
Chrysosplenium_ramosum	0000100
Chrysosplenium_rhabdospermum	1000000
Chrysosplenium_rosendahlii	0010000
Chrysosplenium_sinicum	0001000
Chrysosplenium_tetrandrum	0001000
Chrysosplenium_tosaense	0001000
Chrysosplenium_uniflorum	0000001
Chrysosplenium_valdivicum	0001000
Chrysosplenium_wrightii	0001000
Chunia_bucklandioides	0001000
Conimitella_williamsii	0001000
Corylopsis_glabrescens	0001000
Corylopsis_glandulifera	0001000
Corylopsis_himalayana	0000001
Corylopsis_microcarpa	0000001
Corylopsis_multiflora	0001000
Corylopsis_omeiensis	0001000
Corylopsis_pauciflora	0001000
Corylopsis_platypetala	0001000
Corylopsis_sinensis	0000010
Corylopsis_spicata	0000010
Corylopsis_stenopetala	0000010
Corylopsis_veitchiana	0000010
Corylopsis_willmottiae	0000010
Corylopsis_yunnanensis	0010000
Cotyledon_adscendens	0000010
Cotyledon_barbeyi	0000010
Cotyledon_campanulata	0010000
Cotyledon_cuneata	0000010
Cotyledon_eliseae	0010000
Cotyledon_papillaris	0000010
Cotyledon_tomentosa	1000000
Cotyledon_velutina	0000010
Cotyledon_woodii	0000010
Crassula_alata	0000010
Crassula_alticola	0000010
Crassula_aquatica	0000010
Crassula_atropurpurea	0100000
Crassula_ausensis	0000010
Crassula_barklyi	0000010
Crassula_brachystachya	0000010
Crassula_campestris	0000010
Crassula_capitella	0000010
Crassula_clavata	0000010
Crassula_colligata	0000010
Crassula_compacta	0000010
Crassula_connata	0000010
Crassula_crenulata	0000010
Crassula_cultrata	0000010
Crassula_deceptor	0000010
Crassula_decumbens	0000010
Crassula_dejecta	0000010
Crassula_dependens	0000010
Crassula_dichotoma	0010000
Crassula_ericoides	0000010
Crassula_expansa	0010000
Crassula_fascicularis	0000010
Crassula_flava	0010000
Crassula_gemmifera	0000010
Crassula_globularioides	0000010
Crassula_glomerata	0000010
Crassula_granvikii	0010000
Crassula_helmsii	0000010
Crassula_hunua	0010000
Crassula_inandensis	1000000
Crassula_inanis	0010000
Crassula_kirkii	0000010
Crassula_manaia	0010000
Crassula_mataikona	0000010
Crassula_montana	0000010
Crassula_moschata	0010000
Crassula_multicaulis	0010000
Crassula_multicava	0010000
Crassula_muscosa	0000010
Crassula_natalensis	0000010
Crassula_natans	0000010
Crassula_nudicaulis	0000010
Crassula_orbicularis	1000000
Crassula_papillosa	0010000
Crassula_peduncularis	0000010
Crassula_pellucida	0010000
Crassula_peploides	0000010
Crassula_perfoliata	0010000
Crassula_perforata	0000010
Crassula_pseudohemisphaerica	0000010
Crassula_pubescens	0000010
Crassula_ruamahanga	0000010
Crassula_rupestris	0010000
Crassula_sarcocaulis	0000010
Crassula_sarmentosa	0010000
Crassula_schimperi	0000010
Crassula_sediflora	0000010
Crassula_setulosa	0000010
Crassula_sieberiana	0000010
Crassula_sinclairii	0010000
Crassula_spathulata	0010000
Crassula_strigosa	0010000
Crassula_tenuicaulis	0001000
Crassula_thunbergiana	0000001
Crassula_tillaea	0000001
Crassula_umbraticola	0001000
Crassula_vaginata	0000001
Crassula_vaillantii	0001000
Crassula_venezuelensis	0000001
Crassula_volkensii	0000001
Cremnophila_linguifolia	0001000
Cremnophila_nutans	0000001
Cynomorium_coccineum	0001000
Cynomorium_songaricum	0000001
Daphniphyllum_borneense	0100000
Daphniphyllum_calycinum	0000001
Daphniphyllum_glaucescens	0000001
Daphniphyllum_gracile	0000001
Daphniphyllum_laurinum	0000001
Daphniphyllum_macropodum	0000001
Daphniphyllum_oldhamii	0000001
Daphniphyllum_paxianum	0010000
Daphniphyllum_scortechinii	0001000
Daphniphyllum_teijsmannii	0001000
Darmera_peltata	0001000
Dicoryphe_stipulacea	0000010
Disanthus_cercidifolius	0100000
Distyliopsis_dunnii	0100000
Distyliopsis_laurifolia	0100000
Distyliopsis_tutcheri	0100000
Distylium_myricoides	0100000
Distylium_racemosum	0100000
Dudleya_abramsii	0010000
Dudleya_acuminata	0010000
Dudleya_albiflora	0010000
Dudleya_anomala	0010000
Dudleya_anthonyi	0010000
Dudleya_attenuata	0000001
Dudleya_blochmaniae	0010000
Dudleya_brittonii	0010000
Dudleya_candelabrum	0010000
Dudleya_cymosa	0010000
Dudleya_densiflora	0000100
Dudleya_edulis	0010000
Dudleya_farinosa	0010000
Dudleya_formosa	0010000
Dudleya_greenei	0000010
Dudleya_guadalupensis	0010000
Dudleya_ingens	0010000
Dudleya_linearis	0000100
Dudleya_multicaulis	0010000
Dudleya_pachyphytum	0010000
Dudleya_pulverulenta	0000001
Dudleya_saxosa	0010000
Dudleya_stolonifera	0000001
Dudleya_variegata	0010000
Dudleya_verityi	0010000
Dudleya_virens	0010000
Echeveria_amoena	0000001
Echeveria_australis	0010000
Echeveria_bifida	0010000
Echeveria_cante	0010000
Echeveria_chihuahuaensis	0010000
Echeveria_coccinea	0010000
Echeveria_colorata	0010000
Echeveria_fulgens	0010000
Echeveria_gibbiflora	0010000
Echeveria_grisea	0010000
Echeveria_juarezensis	0010000
Echeveria_longissima	0010000
Echeveria_megacalyx	0000010
Echeveria_montana	0000001
Echeveria_nodulosa	0010000
Echeveria_nuda	0010000
Echeveria_pringlei	0001000
Echeveria_prolifica	0001000
Echeveria_pulvinata	0000010
Echeveria_purpusorum	0000010
Echeveria_racemosa	0000010
Echeveria_recurvata	0010000
Echeveria_rosea	0000001
Echeveria_setosa	0000010
Echeveria_simulans	0000010
Echeveria_strictiflora	0000010
Elmera_racemosa	0000001
Eustigma_balansae	0000010
Eustigma_oblongifolium	0000001
Exbucklandia_longipetala	1000000
Exbucklandia_populnea	0000001
Exbucklandia_tonkinensis	0000010
Fortunearia_sinensis	0000001
Fothergilla_gardenii	0000010
Fothergilla_major	1000000
Glischrocaryon_aureum	0010000
Glischrocaryon_behrii	0010000
Glischrocaryon_flavescens	0010000
Glischrocaryon_roei	0010000
Gonocarpus_acanthocarpus	0010000
Gonocarpus_aggregatus	0010000
Gonocarpus_benthamii	0010000
Gonocarpus_chinensis	0010000
Gonocarpus_cordiger	0010000
Gonocarpus_elatus	0000010
Gonocarpus_ephemerus	0000010
Gonocarpus_eremophilus	0000010
Gonocarpus_humilis	0000010
Gonocarpus_intricatus	0000010
Gonocarpus_leptothecus	0000010
Gonocarpus_longifolius	0000010
Gonocarpus_mezianus	0000001
Gonocarpus_micranthus	0000010
Gonocarpus_montanus	0000010
Gonocarpus_nodulosus	0000010
Gonocarpus_oreophilus	0100000
Gonocarpus_paniculatus	1000000
Gonocarpus_pusillus	0000010
Gonocarpus_salsoloides	0000010
Gonocarpus_scordioides	0000010
Gonocarpus_tetragynus	0010000
Gonocarpus_teucrioides	0000010
Gonocarpus_trichostachyus	0000010
Gonocarpus_urceolatus	0000010
Graptopetalum_amethystinum	1000000
Graptopetalum_bartramii	0000001
Graptopetalum_bellum	0000001
Graptopetalum_filiferum	0000010
Graptopetalum_fruticosum	0000001
Graptopetalum_grande	1000000
Graptopetalum_macdougallii	0000010
Graptopetalum_mendozae	0001000
Graptopetalum_pachyphyllum	0001000
Graptopetalum_paraguayense	0001000
Graptopetalum_pentandrum	0001000
Graptopetalum_rusbyi	0001000
Haloragis_acutangula	0010000
Haloragis_aspera	1000000
Haloragis_dura	1000000
Haloragis_erecta	1000000
Haloragis_exalata	0100000
Haloragis_eyreana	1000000
Haloragis_foliosa	0000100
Haloragis_glauca	0100000
Haloragis_hamata	0010000
Haloragis_heterophylla	0100000
Haloragis_masatierrana	0100000
Haloragis_odontocarpa	0001000
Haloragis_serra	1000000
Haloragis_stricta	0100000
Haloragis_trigonocarpa	0000100
Haloragodendron_baeuerlenii	0010000
Haloragodendron_gibsonii	0001000
Haloragodendron_glandulosum	1000000
Haloragodendron_lucasii	0001000
Haloragodendron_monospermum	0000100
Haloragodendron_racemosum	0001000
Hamamelis_japonica	0001000
Hamamelis_mexicana	1000000
Hamamelis_mollis	1000000
Hamamelis_ovalis	0001000
Hamamelis_vernalis	1000000
Hamamelis_virginiana	0001000
Heuchera_abramsii	0000001
Heuchera_acutifolia	0001000
Heuchera_alba	0001000
Heuchera_americana	1000000
Heuchera_bracteata	0001000
Heuchera_brevistaminea	0001000
Heuchera_caespitosa	0001000
Heuchera_caroliniana	0010000
Heuchera_chlorantha	0001000
Heuchera_cylindrica	0001000
Heuchera_eastwoodiae	0001000
Heuchera_elegans	0001000
Heuchera_glabra	0001000
Heuchera_glomerulata	0001000
Heuchera_grossulariifolia	0001000
Heuchera_hallii	0001000
Heuchera_hirsutissima	0000001
Heuchera_longiflora	0000001
Heuchera_longipetala	0000001
Heuchera_maxima	0010000
Heuchera_merriamii	0001000
Heuchera_mexicana	0001000
Heuchera_micrantha	0000001
Heuchera_missouriensis	0001000
Heuchera_novomexicana	0100000
Heuchera_parishii	0100000
Heuchera_parviflora	0100000
Heuchera_parvifolia	0010000
Heuchera_pilosissima	0000001
Heuchera_puberula	0000010
Heuchera_pubescens	0010000
Heuchera_pulchella	0000010
Heuchera_richardsonii	0000010
Heuchera_rosendahlii	0000010
Heuchera_rubescens	0000010
Heuchera_sanguinea	0010000
Heuchera_villosa	0010000
Heuchera_wellsiae	0010000
Heuchera_woodsiaphila	0000010
Heuchera_wootonii	0010000
Hieronymusia_alchemilloides	0000010
Hylotelephium_anacampseros	0000010
Hylotelephium_angustum	0000001
Hylotelephium_caucasicum	0010000
Hylotelephium_cyaneum	0010000
Hylotelephium_erythrostictum	0010000
Hylotelephium_ewersii	0000010
Hylotelephium_mingjinianum	0000001
Hylotelephium_pallescens	0010000
Hylotelephium_pluricaule	0000010
Hylotelephium_populifolium	0010000
Hylotelephium_sieboldii	0000010
Hylotelephium_sordidum	0010000
Hylotelephium_spectabile	0010000
Hylotelephium_subcapitatum	0010000
Hylotelephium_tatarinowii	0000010
Hylotelephium_telephioides	0000010
Hylotelephium_telephium	0010000
Hylotelephium_verticillatum	0010000
Hylotelephium_viride	0000001
Itea_chinensis	0000001
Itea_glutinosa	0000010
Itea_ilicifolia	0010000
Itea_japonica	0010000
Itea_kiukiangensis	0010000
Itea_macrophylla	0010000
Itea_oldhamii	0010000
Itea_parviflora	0000010
Itea_virginica	0010000
Itea_yunnanensis	0010000
Jepsonia_malvifolia	0000001
Jepsonia_parryi	0010000
Kalanchoe_arborescens	0010000
Kalanchoe_beauverdii	0000010
Kalanchoe_beharensis	0010000
Kalanchoe_bentii	0000010
Kalanchoe_blossfeldiana	0010000
Kalanchoe_brachyloba	0000001
Kalanchoe_campanulata	0010000
Kalanchoe_citrina	0000001
Kalanchoe_crenata	0010000
Kalanchoe_daigremontiana	0000001
Kalanchoe_delagoensis	0000001
Kalanchoe_densiflora	0000001
Kalanchoe_elizae	0010000
Kalanchoe_eriophylla	0000010
Kalanchoe_farinacea	0000010
Kalanchoe_fedtschenkoi	0000010
Kalanchoe_garambiensis	0000001
Kalanchoe_gastonis-bonnieri	0010000
Kalanchoe_germanae	0010000
Kalanchoe_glaucescens	0000001
Kalanchoe_gracilipes	0000001
Kalanchoe_humilis	0000010
Kalanchoe_integrifolia	0010000
Kalanchoe_jongmansii	0000001
Kalanchoe_laciniata	0000001
Kalanchoe_lanceolata	0010000
Kalanchoe_lateritia	0000010
Kalanchoe_latisepala	0010000
Kalanchoe_linearifolia	0000001
Kalanchoe_longiflora	0000001
Kalanchoe_luciae	0000010
Kalanchoe_manginii	0010000
Kalanchoe_marmorata	0000010
Kalanchoe_marnieriana	0010000
Kalanchoe_millotii	0000010
Kalanchoe_miniata	0000010
Kalanchoe_mitejea	1000000
Kalanchoe_nyikae	0100000
Kalanchoe_orgyalis	0100000
Kalanchoe_paniculata	0100000
Kalanchoe_peltata	0100000
Kalanchoe_petitiana	0100000
Kalanchoe_pinnata	0100000
Kalanchoe_porphyrocalyx	0100000
Kalanchoe_prittwitzii	0100000
Kalanchoe_prolifera	0100000
Kalanchoe_pubescens	0001000
Kalanchoe_pumila	0001000
Kalanchoe_rhombopilosa	0010000
Kalanchoe_rosei	0000001
Kalanchoe_rotundifolia	0000001
Kalanchoe_scapigera	0001000
Kalanchoe_streptantha	1000000
Kalanchoe_synsepala	0001000
Kalanchoe_thyrsiflora	0001000
Kalanchoe_tomentosa	1000000
Kalanchoe_uniflora	0100000
Kalanchoe_velutina	1000000
Kalanchoe_waldheimii	1000000
Laurembergia_repens	1000000
Lenophyllum_acutifolium	0100000
Lenophyllum_guttatum	1000000
Leptarrhena_pyrolifolia	0000100
Liquidambar_acalycina	0000100
Liquidambar_formosana	1000000
Liquidambar_orientalis	0001000
Liquidambar_styraciflua	1000000
Lithophragma_affine	1000000
Lithophragma_bolanderi	1000000
Lithophragma_campanulatum	1000000
Lithophragma_cymbalaria	1000000
Lithophragma_glabrum	1000000
Lithophragma_heterophyllum	1000000
Lithophragma_maximum	0000100
Lithophragma_parviflorum	0001000
Lithophragma_tenellum	0000100
Lithophragma_trifoliatum	1000000
Loropetalum_chinense	0000100
Loropetalum_subcordatum	1000000
Matudaea_colombiana	1000000
Matudaea_trinervia	1000000
Medusandra_mpomiana	1000000
Medusandra_richardsiana	1000000
Meionectes_brownii	1000000
Meionectes_tenuifolia	0001000
Meterostachys_sikokianus	1000000
Micranthes_apetala	1000000
Micranthes_aprica	1000000
Micranthes_atrata	0001000
Micranthes_bryophora	1000000
Micranthes_californica	1000000
Micranthes_calycina	0001000
Micranthes_careyana	1000000
Micranthes_caroliniana	0000001
Micranthes_clavistaminea	0001000
Micranthes_clusii	0001000
Micranthes_davidii	1000000
Micranthes_eriophora	0001000
Micranthes_ferruginea	1000000
Micranthes_foliolosa	1000000
Micranthes_fusca	1000000
Micranthes_gageana	0000001
Micranthes_hieraciifolia	0100000
Micranthes_howellii	0100000
Micranthes_integrifolia	0100000
Micranthes_japonica	0100000
Micranthes_laciniata	1000000
Micranthes_lumpuensis	1000000
Micranthes_lyallii	0000010
Micranthes_manchuriensis	0001000
Micranthes_melanocentra	0010000
Micranthes_merkii	0000010
Micranthes_micranthidifolia	0010000
Micranthes_nelsoniana	0000010
Micranthes_nidifica	0000001
Micranthes_nivalis	0000010
Micranthes_occidentalis	0000010
Micranthes_odontoloma	0010000
Micranthes_oregana	0000010
Micranthes_pallida	0000010
Micranthes_pensylvanica	0010000
Micranthes_petiolaris	0000010
Micranthes_razshivinii	0000010
Micranthes_redofskyi	0001000
Micranthes_reflexa	0100000
Micranthes_rhomboidea	1000000
Micranthes_rufidula	0000010
Micranthes_sachalinensis	0000001
Micranthes_spicata	0000010
Micranthes_stellaris	0000010
Micranthes_subapetala	0000010
Micranthes_tempestiva	0000001
Micranthes_tenuis	0001000
Micranthes_texana	0000010
Micranthes_tolmiei	0000001
Micranthes_virginiensis	0000001
Mitella_breweri	0000010
Mitella_caulescens	0010000
Mitella_diphylla	0000010
Mitella_diversifolia	1000000
Mitella_formosana	0000010
Mitella_furusei	0001000
Mitella_japonica	0000010
Mitella_koshiensis	1000000
Mitella_nuda	0000001
Mitella_ovalis	1000000
Mitella_pauciflora	0000001
Mitella_pentandra	0000010
Mitella_stauropetala	0001000
Mitella_stylosa	0000010
Mitella_trifida	0010000
Molinadendron_guatemalense	1000000
Molinadendron_sinaloense	1000000
Monanthes_anagensis	0000001
Monanthes_brachycaulos	0000010
Monanthes_icterica	0010000
Monanthes_laxiflora	0000001
Monanthes_minima	1000000
Monanthes_muralis	0000001
Monanthes_polyphylla	0000010
Myriophyllum_alpinum	0000010
Myriophyllum_alterniflorum	1000000
Myriophyllum_amphibium	1000000
Myriophyllum_aquaticum	0001000
Myriophyllum_balladoniense	0001000
Myriophyllum_caput-medusae	0001000
Myriophyllum_coronatum	0001000
Myriophyllum_crispatum	0001000
Myriophyllum_decussatum	1000000
Myriophyllum_dicoccum	0000100
Myriophyllum_drummondii	0001000
Myriophyllum_echinatum	0000100
Myriophyllum_farwellii	0010000
Myriophyllum_filiforme	0010000
Myriophyllum_heterophyllum	0010000
Myriophyllum_hippuroides	0010000
Myriophyllum_humile	0010000
Myriophyllum_lapidicola	0000100
Myriophyllum_latifolium	0100000
Myriophyllum_laxum	0001000
Myriophyllum_limnophilum	0100000
Myriophyllum_lophatum	1000000
Myriophyllum_mattogrossensis	0100000
Myriophyllum_muricatum	0100000
Myriophyllum_papillosum	0100000
Myriophyllum_pedunculatum	0100000
Myriophyllum_petraeum	0100000
Myriophyllum_pinnatum	0100000
Myriophyllum_propinquum	0001000
Myriophyllum_quitense	1000000
Myriophyllum_robustum	0000100
Myriophyllum_salsugineum	0001000
Myriophyllum_sibiricum	0100000
Myriophyllum_simulans	0001000
Myriophyllum_spicatum	0010000
Myriophyllum_tenellum	0001000
